date,time,state,city,latitude,longitude,temperature_2m,relativehumidity_2m,rain,windspeed_10m,weathercode,description
2024-12-25,03:00:00,Melaka,Melaka,2.1889,102.2511,24.7,85,0.0,8.4,2,State of sky on the whole unchanged
2024-12-25,03:00:00,Perak,Teluk Intan,4.0259,101.0213,25.0,96,0.1,1.4,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-12-25,03:00:00,Sabah,Lahad Datu,5.03,118.34,25.4,94,0.0,4.5,2,State of sky on the whole unchanged
2024-12-25,03:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,25.3,92,0.0,1.8,3,Clouds generally forming or developing
2024-12-25,03:00:00,Sabah,Sandakan,5.8388,118.1173,24.4,100,0.0,2.3,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-12-25,03:00:00,Selangor,Petaling Jaya,3.1073,101.6067,25.1,93,0.0,2.0,80,"Rain shower(s), slight"
2024-12-25,03:00:00,Selangor,Shah Alam,3.0833,101.5333,25.1,93,0.0,2.0,80,"Rain shower(s), slight"
2024-12-25,03:00:00,Johor,Muar,2.05,102.56,25.1,86,0.0,6.6,2,State of sky on the whole unchanged
2024-12-25,03:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,27.1,73,0.0,8.6,3,Clouds generally forming or developing
2024-12-25,03:00:00,Selangor,Klang,3.0333,101.45,25.5,93,0.0,1.9,3,Clouds generally forming or developing
2024-12-25,03:00:00,Sarawak,Miri,4.4028,113.9933,26.3,89,0.0,5.4,3,Clouds generally forming or developing
2024-12-25,03:00:00,Labuan,Labuan,5.2803,115.2475,26.1,93,0.0,4.3,3,Clouds generally forming or developing
2024-12-25,03:00:00,Pahang,Kuantan,3.8167,103.3333,25.7,86,0.0,10.7,3,Clouds generally forming or developing
2024-12-25,03:00:00,Kedah,Sungai Petani,5.65,100.48,24.7,79,0.0,4.7,3,Clouds generally forming or developing
2024-12-25,03:00:00,Kelantan,Kota Bharu,6.1333,102.25,24.8,86,0.0,2.2,3,Clouds generally forming or developing
2024-12-25,03:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.8,84,0.0,4.1,3,Clouds generally forming or developing
2024-12-25,03:00:00,Johor,Johor Bahru,1.4556,103.7611,25.0,90,0.0,5.9,3,Clouds generally forming or developing
2024-12-25,03:00:00,Putrajaya,Putrajaya,2.93,101.69,25.5,92,0.0,0.8,3,Clouds generally forming or developing
2024-12-25,03:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,24.9,87,0.0,3.4,3,Clouds generally forming or developing
2024-12-25,03:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.3,84,0.0,5.2,3,Clouds generally forming or developing
2024-12-25,03:00:00,Terengganu,Cukai,4.2332,103.4479,25.5,87,0.0,9.0,3,Clouds generally forming or developing
2024-12-25,03:00:00,Kedah,Alor Setar,6.1167,100.3667,23.9,84,0.0,4.1,3,Clouds generally forming or developing
2024-12-25,03:00:00,Pulau Pinang,George Town,5.4145,100.3292,27.0,73,0.0,8.6,3,Clouds generally forming or developing
2024-12-25,03:00:00,Sarawak,Sibu,2.3,111.8167,25.2,95,0.0,1.8,3,Clouds generally forming or developing
2024-12-25,03:00:00,Perlis,Kangar,6.4333,100.2,24.6,87,0.0,5.3,3,Clouds generally forming or developing
2024-12-25,02:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,25.0,87,0.0,3.9,3,Clouds generally forming or developing
2024-12-25,02:00:00,Sarawak,Bintulu,3.17,113.03,26.0,95,0.0,2.9,3,Clouds generally forming or developing
2024-12-25,02:00:00,Kedah,Alor Setar,6.1167,100.3667,24.2,84,0.0,4.6,3,Clouds generally forming or developing
2024-12-25,02:00:00,Johor,Kluang,2.0336,103.3194,24.6,87,0.0,7.4,3,Clouds generally forming or developing
2024-12-25,02:00:00,Sabah,Tawau,4.2448,117.8911,26.3,92,0.0,4.7,2,State of sky on the whole unchanged
2024-12-25,02:00:00,Labuan,Labuan,5.2803,115.2475,26.1,93,0.0,4.3,3,Clouds generally forming or developing
2024-12-25,02:00:00,Kedah,Sungai Petani,5.65,100.48,25.1,79,0.0,4.7,3,Clouds generally forming or developing
2024-12-25,02:00:00,Sabah,Lahad Datu,5.03,118.34,25.5,94,0.0,4.4,1,Clouds generally dissolving or becoming less developed
2024-12-25,02:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.5,83,0.0,5.2,2,State of sky on the whole unchanged
2024-12-25,02:00:00,Perlis,Kangar,6.4333,100.2,24.8,86,0.0,4.9,3,Clouds generally forming or developing
2024-12-25,02:00:00,Johor,Muar,2.05,102.56,25.2,87,0.0,6.6,3,Clouds generally forming or developing
2024-12-25,02:00:00,Pahang,Kuala Lipis,4.184,102.042,25.0,96,0.0,0.4,80,"Rain shower(s), slight"
2024-12-25,02:00:00,Johor,Batu Pahat,1.85,102.93,24.7,91,0.0,2.5,3,Clouds generally forming or developing
2024-12-25,02:00:00,Sarawak,Kuching,1.5397,110.3542,24.7,96,0.0,2.0,3,Clouds generally forming or developing
2024-12-25,02:00:00,Selangor,Petaling Jaya,3.1073,101.6067,25.5,92,0.0,1.0,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-12-25,02:00:00,Selangor,Shah Alam,3.0833,101.5333,25.5,92,0.0,1.0,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-12-25,02:00:00,Perak,Taiping,4.85,100.7333,25.8,92,0.0,4.7,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-12-25,02:00:00,Perak,Teluk Intan,4.0259,101.0213,25.2,97,0.2,2.3,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-12-25,02:00:00,Putrajaya,Putrajaya,2.93,101.69,25.7,92,0.0,0.7,3,Clouds generally forming or developing
2024-12-25,02:00:00,Sarawak,Sibu,2.3,111.8167,25.5,94,0.0,1.4,3,Clouds generally forming or developing
2024-12-25,02:00:00,Melaka,Melaka,2.1889,102.2511,25.0,84,0.0,8.2,3,Clouds generally forming or developing
2024-12-25,02:00:00,Sabah,Sandakan,5.8388,118.1173,24.5,100,0.0,2.8,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-12-25,02:00:00,Sarawak,Miri,4.4028,113.9933,26.5,88,0.0,4.0,3,Clouds generally forming or developing
2024-12-25,02:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,27.4,74,0.0,8.4,3,Clouds generally forming or developing
2024-12-25,02:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.9,87,0.0,3.3,3,Clouds generally forming or developing
2024-12-25,02:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,25.5,92,0.0,2.1,80,"Rain shower(s), slight"
2024-12-25,02:00:00,Selangor,Klang,3.0333,101.45,25.7,93,0.0,1.5,80,"Rain shower(s), slight"
2024-12-25,02:00:00,Pulau Pinang,George Town,5.4145,100.3292,27.3,74,0.0,8.4,3,Clouds generally forming or developing
2024-12-25,02:00:00,Kelantan,Kota Bharu,6.1333,102.25,24.8,86,0.0,3.4,3,Clouds generally forming or developing
2024-12-25,02:00:00,Pahang,Kuantan,3.8167,103.3333,25.8,86,0.0,10.6,3,Clouds generally forming or developing
2024-12-25,02:00:00,Terengganu,Cukai,4.2332,103.4479,25.4,88,0.0,8.6,3,Clouds generally forming or developing
2024-12-25,02:00:00,Johor,Johor Bahru,1.4556,103.7611,25.1,90,0.0,5.6,3,Clouds generally forming or developing
2024-12-25,02:00:00,Perak,Ipoh,4.6,101.07,25.2,94,0.0,2.5,80,"Rain shower(s), slight"
2024-12-25,01:00:00,Pahang,Kuala Lipis,4.184,102.042,24.6,95,0.0,2.6,80,"Rain shower(s), slight"
2024-12-25,01:00:00,Kelantan,Kota Bharu,6.1333,102.25,25.0,83,0.0,4.7,2,State of sky on the whole unchanged
2024-12-25,01:00:00,Perak,Taiping,4.85,100.7333,26.0,91,0.0,4.6,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-12-25,01:00:00,Selangor,Klang,3.0333,101.45,25.7,91,0.0,2.8,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-12-25,01:00:00,Sarawak,Bintulu,3.17,113.03,26.1,95,0.0,3.1,3,Clouds generally forming or developing
2024-12-25,01:00:00,Perlis,Kangar,6.4333,100.2,25.1,80,0.0,5.4,3,Clouds generally forming or developing
2024-12-25,01:00:00,Sabah,Lahad Datu,5.03,118.34,26.0,92,0.0,4.9,1,Clouds generally dissolving or becoming less developed
2024-12-25,01:00:00,Sarawak,Sibu,2.3,111.8167,25.7,93,0.0,1.8,3,Clouds generally forming or developing
2024-12-25,01:00:00,Selangor,Shah Alam,3.0833,101.5333,25.6,93,0.0,0.8,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-12-25,01:00:00,Pulau Pinang,George Town,5.4145,100.3292,27.6,71,0.0,9.2,3,Clouds generally forming or developing
2024-12-25,01:00:00,Selangor,Petaling Jaya,3.1073,101.6067,25.6,93,0.0,0.8,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-12-25,01:00:00,Sarawak,Kuching,1.5397,110.3542,24.9,94,0.0,2.6,3,Clouds generally forming or developing
2024-12-25,01:00:00,Johor,Batu Pahat,1.85,102.93,25.0,91,0.0,3.2,3,Clouds generally forming or developing
2024-12-25,01:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,27.7,71,0.0,9.2,3,Clouds generally forming or developing
2024-12-25,01:00:00,Terengganu,Cukai,4.2332,103.4479,25.7,85,0.0,9.0,3,Clouds generally forming or developing
2024-12-25,01:00:00,Kedah,Sungai Petani,5.65,100.48,25.7,73,0.0,5.9,3,Clouds generally forming or developing
2024-12-25,01:00:00,Johor,Johor Bahru,1.4556,103.7611,25.2,90,0.0,6.4,3,Clouds generally forming or developing
2024-12-25,01:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.9,83,0.0,4.9,3,Clouds generally forming or developing
2024-12-25,01:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,25.3,86,0.0,4.2,3,Clouds generally forming or developing
2024-12-25,01:00:00,Sabah,Tawau,4.2448,117.8911,26.9,91,0.0,5.2,2,State of sky on the whole unchanged
2024-12-25,01:00:00,Perak,Teluk Intan,4.0259,101.0213,25.5,96,0.0,2.3,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-12-25,01:00:00,Johor,Muar,2.05,102.56,25.6,89,0.0,6.1,3,Clouds generally forming or developing
2024-12-25,01:00:00,Perak,Ipoh,4.6,101.07,25.6,94,0.0,2.2,80,"Rain shower(s), slight"
2024-12-25,01:00:00,Putrajaya,Putrajaya,2.93,101.69,25.7,92,0.0,2.4,3,Clouds generally forming or developing
2024-12-25,01:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,25.8,90,0.0,0.8,3,Clouds generally forming or developing
2024-12-25,01:00:00,Johor,Kluang,2.0336,103.3194,24.8,88,0.0,6.4,3,Clouds generally forming or developing
2024-12-25,01:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,26.1,85,0.0,4.2,3,Clouds generally forming or developing
2024-12-25,01:00:00,Sabah,Sandakan,5.8388,118.1173,25.0,98,0.0,3.0,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-12-25,01:00:00,Melaka,Melaka,2.1889,102.2511,25.2,85,0.0,9.2,3,Clouds generally forming or developing
2024-12-25,01:00:00,Labuan,Labuan,5.2803,115.2475,26.6,90,0.0,4.9,3,Clouds generally forming or developing
2024-12-25,01:00:00,Pahang,Kuantan,3.8167,103.3333,26.1,85,0.0,11.4,3,Clouds generally forming or developing
2024-12-25,01:00:00,Kedah,Alor Setar,6.1167,100.3667,24.5,78,0.0,5.4,3,Clouds generally forming or developing
2024-12-25,01:00:00,Sarawak,Miri,4.4028,113.9933,26.9,88,0.0,4.3,3,Clouds generally forming or developing
2024-12-25,00:00:00,Perak,Teluk Intan,4.0259,101.0213,25.7,95,0.0,2.9,3,Clouds generally forming or developing
2024-12-25,00:00:00,Selangor,Klang,3.0333,101.45,26.0,90,0.0,3.1,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-12-25,00:00:00,Sarawak,Miri,4.4028,113.9933,27.1,87,0.0,4.0,3,Clouds generally forming or developing
2024-12-25,00:00:00,Selangor,Petaling Jaya,3.1073,101.6067,25.9,92,0.0,0.8,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-12-25,00:00:00,Pahang,Kuantan,3.8167,103.3333,26.2,85,0.0,10.9,3,Clouds generally forming or developing
2024-12-25,00:00:00,Selangor,Shah Alam,3.0833,101.5333,25.9,92,0.0,0.8,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-12-25,00:00:00,Johor,Johor Bahru,1.4556,103.7611,25.3,90,0.0,7.1,3,Clouds generally forming or developing
2024-12-25,00:00:00,Perak,Taiping,4.85,100.7333,26.3,89,0.0,3.9,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-12-25,00:00:00,Sabah,Sandakan,5.8388,118.1173,25.1,98,0.0,3.0,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-12-25,00:00:00,Perlis,Kangar,6.4333,100.2,25.2,80,0.0,5.4,3,Clouds generally forming or developing
2024-12-25,00:00:00,Sarawak,Sibu,2.3,111.8167,25.9,92,0.0,1.5,3,Clouds generally forming or developing
2024-12-25,00:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,27.9,72,0.0,9.2,3,Clouds generally forming or developing
2024-12-25,00:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.9,85,0.0,4.7,3,Clouds generally forming or developing
2024-12-25,00:00:00,Melaka,Melaka,2.1889,102.2511,25.3,86,0.0,8.9,3,Clouds generally forming or developing
2024-12-25,00:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,25.5,86,0.0,4.4,3,Clouds generally forming or developing
2024-12-25,00:00:00,Perak,Ipoh,4.6,101.07,25.8,94,0.0,1.8,3,Clouds generally forming or developing
2024-12-25,00:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,26.5,84,0.0,4.0,3,Clouds generally forming or developing
2024-12-25,00:00:00,Johor,Kluang,2.0336,103.3194,24.9,88,0.0,6.1,3,Clouds generally forming or developing
2024-12-25,00:00:00,Johor,Muar,2.05,102.56,25.7,89,0.0,6.5,3,Clouds generally forming or developing
2024-12-25,00:00:00,Labuan,Labuan,5.2803,115.2475,26.6,89,0.0,4.4,3,Clouds generally forming or developing
2024-12-25,00:00:00,Kedah,Sungai Petani,5.65,100.48,26.2,72,0.0,6.5,3,Clouds generally forming or developing
2024-12-25,00:00:00,Sabah,Tawau,4.2448,117.8911,26.9,91,0.0,5.4,3,Clouds generally forming or developing
2024-12-25,00:00:00,Sabah,Lahad Datu,5.03,118.34,26.3,91,0.0,4.8,1,Clouds generally dissolving or becoming less developed
2024-12-25,00:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,26.0,90,0.0,1.1,80,"Rain shower(s), slight"
2024-12-25,00:00:00,Kelantan,Kota Bharu,6.1333,102.25,25.3,81,0.0,4.8,2,State of sky on the whole unchanged
2024-12-25,00:00:00,Sarawak,Bintulu,3.17,113.03,26.4,93,0.0,3.1,3,Clouds generally forming or developing
2024-12-25,00:00:00,Terengganu,Cukai,4.2332,103.4479,25.7,84,0.0,8.6,3,Clouds generally forming or developing
2024-12-25,00:00:00,Kedah,Alor Setar,6.1167,100.3667,24.8,77,0.0,5.4,3,Clouds generally forming or developing
2024-12-25,00:00:00,Putrajaya,Putrajaya,2.93,101.69,25.8,92,0.0,1.8,80,"Rain shower(s), slight"
2024-12-25,00:00:00,Sarawak,Kuching,1.5397,110.3542,25.1,93,0.0,3.4,3,Clouds generally forming or developing
2024-12-25,00:00:00,Johor,Batu Pahat,1.85,102.93,25.1,91,0.0,4.0,3,Clouds generally forming or developing
2024-12-25,00:00:00,Pahang,Kuala Lipis,4.184,102.042,24.8,96,0.0,1.3,80,"Rain shower(s), slight"
2024-12-25,00:00:00,Pulau Pinang,George Town,5.4145,100.3292,27.9,72,0.0,9.2,3,Clouds generally forming or developing
